calc_time,funding_interval_hours,funding_rate,timestamp
1704211200000,8,0.0001,2024-01-02 16:00:00
1704240000000,8,0.0001,2024-01-03 00:00:00
1704268800000,8,0.0001,2024-01-03 08:00:00
1704297600000,8,0.0001,2024-01-03 16:00:00
1704326400000,8,0.0001,2024-01-04 00:00:00
1704355200000,8,0.0001,2024-01-04 08:00:00
1704384000000,8,0.0001,2024-01-04 16:00:00
1704412800001,8,0.0001,2024-01-05 00:00:00
1704441600000,8,0.0001,2024-01-05 08:00:00
1704470400000,8,0.0001,2024-01-05 16:00:00
1704499200000,8,4.061e-05,2024-01-06 00:00:00
1704528000000,8,9.377e-05,2024-01-06 08:00:00
1704556800000,8,6.494e-05,2024-01-06 16:00:00
1704585600000,8,4.978e-05,2024-01-07 00:00:00
1704614400001,8,9.451e-05,2024-01-07 08:00:00
1704643200001,8,0.0001,2024-01-07 16:00:00
1704672000000,8,-1.556e-05,2024-01-08 00:00:00
1704700800000,8,5.794e-05,2024-01-08 08:00:00
1704729600000,8,0.0001,2024-01-08 16:00:00
1704758400001,8,0.0001,2024-01-09 00:00:00
1704787200000,8,0.0001,2024-01-09 08:00:00
1704816000000,8,6.105e-05,2024-01-09 16:00:00
1704844800000,8,7.137e-05,2024-01-10 00:00:00
1704873600000,8,0.0001,2024-01-10 08:00:00
1704902400000,8,0.0001,2024-01-10 16:00:00
1704931200000,8,0.0001,2024-01-11 00:00:00
1704960000000,8,0.0001,2024-01-11 08:00:00
1704988800000,8,0.0001,2024-01-11 16:00:00
1705017600001,8,0.0001,2024-01-12 00:00:00
1705046400000,8,0.0001,2024-01-12 08:00:00
1705075200000,8,0.0001,2024-01-12 16:00:00
1705104000000,8,0.0001,2024-01-13 00:00:00
1705132800000,8,0.0001,2024-01-13 08:00:00
1705161600001,8,0.0001,2024-01-13 16:00:00
1705190400000,8,0.0001,2024-01-14 00:00:00
1705219200000,8,0.0001,2024-01-14 08:00:00
1705248000001,8,0.0001,2024-01-14 16:00:00
1705276800000,8,0.0001,2024-01-15 00:00:00
1705305600000,8,0.0001,2024-01-15 08:00:00
1705334400000,8,0.0001,2024-01-15 16:00:00
1705363200000,8,0.0001,2024-01-16 00:00:00
1705392000000,8,0.0001,2024-01-16 08:00:00
1705420800001,8,0.0001,2024-01-16 16:00:00
1705449600000,8,5.306e-05,2024-01-17 00:00:00
1705478400000,8,4.969e-05,2024-01-17 08:00:00
1705507200000,8,0.0001,2024-01-17 16:00:00
1705536000001,8,0.0001,2024-01-18 00:00:00
1705564800000,8,0.0001,2024-01-18 08:00:00
1705593600000,8,0.0001,2024-01-18 16:00:00
1705622400000,8,0.0001,2024-01-19 00:00:00
1705651200000,8,0.0001,2024-01-19 08:00:00
1705680000002,8,0.0001,2024-01-19 16:00:00
1705708800000,8,0.0001,2024-01-20 00:00:00
1705737600003,8,0.0001,2024-01-20 08:00:00
1705766400000,8,0.0001,2024-01-20 16:00:00
1705795200000,8,0.0001,2024-01-21 00:00:00
1705824000000,8,0.0001,2024-01-21 08:00:00
1705852800000,8,0.0001,2024-01-21 16:00:00
1705881600000,8,0.0001,2024-01-22 00:00:00
1705910400000,8,0.0001,2024-01-22 08:00:00
1705939200000,8,0.0001,2024-01-22 16:00:00
1705968000000,8,0.0001,2024-01-23 00:00:00
1705996800000,8,0.0001,2024-01-23 08:00:00
1706025600000,8,0.0001,2024-01-23 16:00:00
1706054400000,8,0.0001,2024-01-24 00:00:00
1706083200000,8,0.0001,2024-01-24 08:00:00
1706112000000,8,0.0001,2024-01-24 16:00:00
1706140800000,8,0.0001,2024-01-25 00:00:00
1706169600001,8,0.0001,2024-01-25 08:00:00
1706198400000,8,0.0001,2024-01-25 16:00:00
1706227200001,8,0.0001,2024-01-26 00:00:00
1706256000000,8,0.0001,2024-01-26 08:00:00
1706284800000,8,0.0001,2024-01-26 16:00:00
1706313600000,8,0.0001,2024-01-27 00:00:00
1706342400000,8,0.0001,2024-01-27 08:00:00
1706371200000,8,0.0001,2024-01-27 16:00:00
1706400000000,8,5.219e-05,2024-01-28 00:00:00
1706428800000,8,5.557e-05,2024-01-28 08:00:00
1706457600000,8,0.0001,2024-01-28 16:00:00
1706486400000,8,0.0001,2024-01-29 00:00:00
1706515200001,8,0.0001,2024-01-29 08:00:00
1706544000000,8,0.0001,2024-01-29 16:00:00
1706572800000,8,0.0001,2024-01-30 00:00:00
1706601600000,8,0.0001,2024-01-30 08:00:00
1706630400001,8,0.0001,2024-01-30 16:00:00
1706659200000,8,-9.71e-06,2024-01-31 00:00:00
1706688000000,8,0.0001,2024-01-31 08:00:00
1706716800000,8,0.0001,2024-01-31 16:00:00
